Underlying Equity's Prices,,,,
Date,Equity 1,Equity 2 ,Equity 3,Equity 4
,,,,
31-Jan-20,,,,
31-Jan-20,197.2525,253.2126,653.266,653.2678
03-Feb-20,197.063,253.2231,652.3695,652.3759
04-Feb-20,196.6896,252.9168,649.9793,649.9858
05-Feb-20,197.3429,252.8294,653.5655,653.5588
06-Feb-20,197.4554,252.7901,652.3171,652.3172
07-Feb-20,196.7969,252.944,653.5571,653.555
10-Feb-20,196.9404,253.3696,656.0398,656.0355
11-Feb-20,196.9457,253.3767,653.6765,653.6793
12-Feb-20,196.8736,253.1046,653.1065,653.1106
13-Feb-20,197.3342,253.1732,653.3026,653.3086
14-Feb-20,197.5827,252.9777,655.8631,655.8615
18-Feb-20,197.5113,252.2132,655.8121,655.8105
19-Feb-20,197.879,252.0427,652.8371,652.8415
20-Feb-20,198.4486,252.148,656.3569,656.358
21-Feb-20,198.7285,252.2191,660.4866,660.4865
24-Feb-20,199.6145,253.0706,674.5611,674.5579
25-Feb-20,198.2449,253.1442,674.3235,674.3282
26-Feb-20,197.695,253.3741,676.3043,676.3079
27-Feb-20,197.5381,253.9749,685.6951,685.6942
28-Feb-20,195.5256,253.8981,679.669,679.6707
02-Mar-20,196.1792,253.4229,669.7209,669.7171
03-Mar-20,196.1376,253.2971,670.6939,670.6976
04-Mar-20,196.34,253.3893,666.1514,666.1456
05-Mar-20,197.5322,253.8794,672.8502,672.8529
06-Mar-20,196.7346,254.5294,696.0401,696.0357
09-Mar-20,192.8946,255.2033,725.0165,725.0112
10-Mar-20,192.5036,254.4199,708.7669,708.7626
11-Mar-20,192.4436,254.8597,712.5149,712.5117
12-Mar-20,191.1724,255.5895,728.3832,728.3759
13-Mar-20,189.5383,255.2042,722.3364,722.3336
16-Mar-20,187.5014,255.6924,746.2787,746.2867
17-Mar-20,187.6477,256.397,765.0956,765.0924
18-Mar-20,183.8985,257.1217,783.7276,783.7308
19-Mar-20,184.5369,256.3172,755.5888,755.5929
20-Mar-20,183.6503,256.5111,766.1145,766.1196
23-Mar-20,184.2165,257.2432,774.9038,774.9066
24-Mar-20,186.4879,257.0399,761.4262,761.4288
25-Mar-20,186.5893,257.3401,754.3121,754.3177
26-Mar-20,187.0452,258.318,762.0508,762.049
27-Mar-20,187.5631,259.1971,766.046,766.049
30-Mar-20,187.386,260.3262,776.9074,776.9103
31-Mar-20,187.0697,261.1604,771.1902,771.1901
01-Apr-20,186.9903,261.7922,797.956,797.9614
02-Apr-20,188.1537,260.5255,785.5894,785.5876
03-Apr-20,187.4494,260.0068,780.5688,780.5627
06-Apr-20,188.2214,260.7929,778.1085,778.1105
07-Apr-20,187.7454,261.349,766.1887,766.1829
08-Apr-20,187.2902,262.1365,768.2767,768.2804
09-Apr-20,188.6543,263.9599,772.0439,772.0438
13-Apr-20,188.072,264.8939,775.7993,775.8047
14-Apr-20,189.0238,266.0956,776.5998,776.5987
15-Apr-20,189.9909,266.6004,785.8962,785.8884
16-Apr-20,189.8997,265.7337,783.0329,783.0404
17-Apr-20,188.8428,265.6062,780.4444,780.4453
20-Apr-20,189.2485,265.8269,786.3679,786.3688
21-Apr-20,191.6124,267.9244,801.9063,801.9032
22-Apr-20,191.525,266.7071,796.2866,796.2949
23-Apr-20,191.7975,266.751,790.3152,790.3115
24-Apr-20,191.8818,267.2639,796.027,796.026
27-Apr-20,192.1704,268.6518,802.2095,802.2048
28-Apr-20,192.0138,268.5603,802.3722,802.3756
29-Apr-20,191.5908,268.4701,794.1421,794.1422
30-Apr-20,189.4475,266.5425,775.8357,775.8417
01-May-20,189.4783,266.3016,775.3431,775.3491
04-May-20,189.4528,264.9082,780.4552,780.4521
05-May-20,188.4421,261.9434,764.7545,764.7461
06-May-20,189.4818,263.3856,774.2182,774.2166
07-May-20,190.6179,263.7481,767.1582,767.1533
08-May-20,189.6258,264.1827,760.8676,760.8665
11-May-20,190.3015,264.1523,762.4017,762.4069
12-May-20,190.8178,264.348,763.9064,763.906
13-May-20,191.418,265.57,771.3221,771.3215
14-May-20,191.1047,265.1254,766.9275,766.9307
15-May-20,191.2089,265.0447,764.4359,764.4347
18-May-20,189.8761,264.2198,750.7177,750.7163
19-May-20,190.5829,264.1409,752.6624,752.6579
20-May-20,190.8335,264.2398,747.4424,747.4357
21-May-20,189.7731,264.7997,747.9415,747.939
22-May-20,190.1723,264.9972,749.8713,749.8711
26-May-20,188.9232,264.4591,746.9602,746.9593
27-May-20,189.265,264.8478,747.7867,747.7867
